player,comp,round,date,venue,opp,pos,min,type,assisted
ronaldo,Champions League,Group Stage,9/27/2011,H,Ajax,LW,25',Right-footed shot,Karim Benzema
ronaldo,LaLiga,9,10/22/2011,A,Málaga CF  ,LW,24',Left-footed shot,Ángel Di María
ronaldo,,,,,,,28',Right-footed shot,Xabi Alonso
ronaldo,,,,,,,38',Right-footed shot,Sergio Ramos
ronaldo,Champions League,Group Stage,11/2/2011,A,Olympique Lyon,LW,25',Direct free kick,
ronaldo,,,,,,,69',Penalty,
ronaldo,LaLiga,12,11/6/2011,H,CA Osasuna  ,LW,23',Header,Ángel Di María
ronaldo,,,,,,,55',Penalty,
ronaldo,,,,,,,58',Header,Álvaro Arbeloa
ronaldo,LaLiga,13,11/19/2011,A,Valencia  ,LW,79',Right-footed shot,Pepe
ronaldo,LaLiga,14,11/26/2011,H,Atlético Madrid  ,LW,24',Penalty,
ronaldo,,,,,,,82',Penalty,
ronaldo,LaLiga,15,12/3/2011,A,Sporting Gijón  ,LW,65',Right-footed shot,Ángel Di María
ronaldo,Copa del Rey,4th round,12/13/2011,A,Ponferradina,LW,74',Left-footed shot,Gonzalo Higuaín
ronaldo,LaLiga,17,12/17/2011,A,Sevilla FC  ,LW,10',Right-footed shot,Ángel Di María
ronaldo,,,,,,,41',Right-footed shot,Karim Benzema
ronaldo,,,,,,,86',Penalty,
ronaldo,LaLiga,18,1/7/2012,H,Granada CF  ,LW,89',Right-footed shot,
ronaldo,Copa del Rey,Quarter-Finals,1/18/2012,H,FC Barcelona,LW,11',Left-footed shot,Karim Benzema
ronaldo,LaLiga,1,1/22/2012,H,Athletic  ,LW,46',Penalty,
ronaldo,,,,,,,67',Penalty,
ronaldo,Copa del Rey,Quarter-Finals,1/25/2012,A,FC Barcelona,LW,68',Right-footed shot,Mesut Özil
ronaldo,LaLiga,21,1/28/2012,H,Real Zaragoza  ,LW,48',Right-footed shot,Mesut Özil
ronaldo,LaLiga,23,2/12/2012,H,Levante  ,LW,45',Penalty,
ronaldo,,,,,,,50',Header,Gonzalo Higuaín
ronaldo,,,,,,,57',Right-footed shot,Fábio Coentrão
ronaldo,LaLiga,24,2/18/2012,H,Racing  ,LW,6',Header,Kaká
ronaldo,Champions League,last 16,2/21/2012,A,CSKA Moscow,LW,28',Left-footed shot,Fábio Coentrão
ronaldo,LaLiga,25,2/26/2012,A,Rayo Vallecano  ,LW,53',Right-footed shot,
ronaldo,LaLiga,26,3/4/2012,H,Espanyol  ,LW,23',Left-footed shot,Gonzalo Higuaín
ronaldo,LaLiga,27,3/10/2012,A,Real Betis  ,LW,52',Left-footed shot,Marcelo
ronaldo,,,,,,,73',Left-footed shot,
ronaldo,Champions League,last 16,3/14/2012,H,CSKA Moscow,LW,55',Right-footed shot,Sergio Ramos
ronaldo,,,,,,,90'+4,Right-footed shot,Karim Benzema
ronaldo,LaLiga,29,3/21/2012,A,Villarreal  ,LW,61',Right-footed shot,Mesut Özil
ronaldo,LaLiga,30,3/24/2012,H,Real Sociedad  ,LW,32',Right-footed shot,Kaká
ronaldo,,,,,,,55',Right-footed shot,Gonzalo Higuaín
ronaldo,LaLiga,31,3/31/2012,A,CA Osasuna  ,LW,37',Long distance kick,Xabi Alonso
ronaldo,,,,,,,70',Direct free kick,
ronaldo,Champions League,Quarter-Finals,4/4/2012,H,APOEL Nicosia,LW,26',Right-footed shot,Marcelo
ronaldo,,,,,,,75',Direct free kick,
ronaldo,LaLiga,33,4/11/2012,A,Atlético Madrid  ,LW,24',Direct free kick,
ronaldo,,,,,,,67',Long distance kick,
ronaldo,,,,,,,82',Penalty,
ronaldo,LaLiga,34,4/14/2012,H,Sporting Gijón  ,LW,74',Header,Ángel Di María
ronaldo,LaLiga,35,4/21/2012,A,FC Barcelona  ,LW,73',Right-footed shot,Mesut Özil
ronaldo,Champions League,Semi-Finals,4/25/2012,H,Bayern Munich ,LW,6',Penalty,
ronaldo,,,,,,,14',Right-footed shot,Mesut Özil
ronaldo,LaLiga,36,4/29/2012,H,Sevilla FC  ,LW,19',Right-footed shot,Karim Benzema
ronaldo,LaLiga,20,5/2/2012,A,Athletic  ,LW,49',Header,Xabi Alonso
ronaldo,LaLiga,37,5/5/2012,A,Granada CF  ,LW,81',Penalty,
ronaldo,LaLiga,38,5/13/2012,H,RCD Mallorca  ,LW,18',Header,Marcelo
ronaldo,Supercopa,final,8/23/2012,A,FC Barcelona,LW,55',Header,Mesut Özil
ronaldo,Supercopa,final,8/29/2012,H,FC Barcelona,LW,19',Right-footed shot,Sami Khedira
ronaldo,LaLiga,3,9/2/2012,H,Granada CF  ,LW,25',Right-footed shot,José Callejón
ronaldo,,,,,,,53',Left-footed shot,
ronaldo,Champions League,Group Stage,9/18/2012,H,Man City,LW,90',Right-footed shot,Marcelo
ronaldo,LaLiga,5,9/24/2012,A,Rayo Vallecano  ,LW,69',Penalty,
ronaldo,LaLiga,6,9/30/2012,H,Dep. La Coruña  ,LW,23',Penalty,
ronaldo,,,,,,,44',Header,Sergio Ramos
ronaldo,,,,,,,84',Penalty,
ronaldo,Champions League,Group Stage,10/3/2012,A,Ajax,LW,42',Right-footed shot,Karim Benzema
ronaldo,,,,,,,79',Right-footed shot,Karim Benzema
ronaldo,,,,,,,81',Left-footed shot,Sami Khedira
ronaldo,LaLiga,7,10/7/2012,A,FC Barcelona  ,LW,22',Left-footed shot,Karim Benzema
ronaldo,,,,,,,66',Right-footed shot,Mesut Özil
ronaldo,LaLiga,8,10/20/2012,H,Celta de Vigo  ,LW,67',Penalty,
ronaldo,Champions League,Group Stage,10/24/2012,A,Bor. Dortmund,LW,38',Right-footed shot,Mesut Özil
ronaldo,LaLiga,9,10/28/2012,A,RCD Mallorca  ,LW,22',Right-footed shot,Gonzalo Higuaín
ronaldo,,,,,,,73',Right-footed shot,Gonzalo Higuaín
ronaldo,LaLiga,11,11/11/2012,A,Levante  ,CF,20',Right-footed shot,
ronaldo,LaLiga,14,12/1/2012,H,Atlético Madrid  ,LW,16',Direct free kick,
ronaldo,Champions League,Group Stage,12/4/2012,H,Ajax,LW,13',Right-footed shot,Karim Benzema
ronaldo,Copa del Rey,last 16,12/12/2012,A,Celta de Vigo,LW,87',Left-footed shot,Xabi Alonso
ronaldo,LaLiga,16,12/16/2012,H,Espanyol  ,CF,45',Right-footed shot,Sami Khedira
ronaldo,LaLiga,18,1/6/2013,H,Real Sociedad  ,LW ,67',Left-footed shot,Karim Benzema
ronaldo,,,,,,,70',Direct free kick,
ronaldo,Copa del Rey,last 16,1/9/2013,H,Celta de Vigo,LW,2',Right-footed shot,Álvaro Arbeloa
ronaldo,,,,,,,24',Left-footed shot,Luka Modric
ronaldo,,,,,,,87',Left-footed shot,Gonzalo Higuaín
ronaldo,LaLiga,20,1/20/2013,A,Valencia  ,LW,35',Left-footed shot,Fábio Coentrão
ronaldo,,,,,,,41',Right-footed shot,Mesut Özil
ronaldo,LaLiga,21,1/27/2013,H,Getafe  ,LW,62',Left-footed shot,Mesut Özil
ronaldo,,,,,,,65',Header,Ángel Di María
ronaldo,,,,,,,72',Penalty,
ronaldo,LaLiga,23,2/9/2013,H,Sevilla FC  ,LW,26',Left-footed shot,Kaká
ronaldo,,,,,,,46',Left-footed shot,Álvaro Arbeloa
ronaldo,,,,,,,59',Right-footed shot,Gonzalo Higuaín
ronaldo,Champions League,last 16,2/13/2013,H,Man Utd,LW,30',Header,Ángel Di María
ronaldo,Copa del Rey,Semi-Finals,2/26/2013,A,FC Barcelona,LW,12',Penalty,
ronaldo,,,,,,,57',Left-footed shot,
ronaldo,Champions League,last 16,3/5/2013,A,Man Utd,LW,69',Right-footed shot,Gonzalo Higuaín
ronaldo,LaLiga,27,3/10/2013,A,Celta de Vigo  ,LW,61',Left-footed shot,José Callejón
ronaldo,,,,,,,71',Penalty,
ronaldo,LaLiga,28,3/16/2013,H,RCD Mallorca  ,LW,52',Header,Mesut Özil
ronaldo,LaLiga,29,3/30/2013,A,Real Zaragoza  ,LW,38',Long distance kick,
ronaldo,Champions League,Quarter-Finals,4/3/2013,H,Galatasaray,LW,9',Left-footed shot,Mesut Özil
ronaldo,LaLiga,30,4/6/2013,H,Levante  ,CF,84',Right-footed shot,Gonzalo Higuaín
ronaldo,Champions League,Quarter-Finals,4/9/2013,A,Galatasaray,LW,8',Right-footed shot,Sami Khedira
ronaldo,,,,,,,90'+2,Right-footed shot,Karim Benzema
ronaldo,LaLiga,31,4/14/2013,A,Athletic  ,LW,2',Direct free kick,
ronaldo,,,,,,,68',Header,Xabi Alonso
ronaldo,Champions League,Semi-Finals,4/24/2013,A,Bor. Dortmund,LW,43',Right-footed shot,Gonzalo Higuaín
ronaldo,LaLiga,34,5/4/2013,H,Real Valladolid  ,LW,32',Header,Ángel Di María
ronaldo,,,,,,,70',Header,Mesut Özil
ronaldo,LaLiga,36,5/8/2013,H,Málaga CF  ,LW ,26',Right-footed shot,Xabi Alonso
ronaldo,Copa del Rey,Final,5/17/2013,A,Atlético Madrid,LW,14',Header,Luka Modric
ronaldo,LaLiga,3,9/1/2013,H,Athletic  ,LW,45',Header,Ángel Di María
ronaldo,LaLiga,4,9/14/2013,A,Villarreal  ,LW,64',Right-footed shot,
ronaldo,Champions League,Group Stage,9/17/2013,A,Galatasaray,LW,63',Left-footed shot,Isco
ronaldo,,,,,,,66',Tap-in,Sergio Ramos
ronaldo,,,,,,,90',Left-footed shot,Karim Benzema
ronaldo,LaLiga,5,9/22/2013,H,Getafe  ,LW,34',Penalty,
ronaldo,,,,,,,90',Right-footed shot,Sami Khedira
ronaldo,LaLiga,6,9/25/2013,A,Elche CF  ,LW,51',Direct free kick,
ronaldo,,,,,,,90'+6,Penalty,
ronaldo,Champions League,Group Stage,10/2/2013,H,FC Copenhagen,LW,21',Header,Marcelo
ronaldo,,,,,,,65',Header,Ángel Di María
